date,year,NDVI,NDWI,EVI,total_mangrove_area_ha,total_carbon_stock_tonnes,total_CO2_absorption_tonnes_per_year
2024-09-10,2024,0.4359832746506469,-0.3688199044966026,0.526036747304248,497270.2016437792,222279780.1347693,4972702.016437791
2024-09-17,2024,0.4225782869819195,-0.35192399210323805,0.5517559437902786,453279.11679187114,202615765.2059664,4532791.167918712
2024-09-24,2024,0.40302332343382835,-0.32663282518370934,0.5868253071601611,322351.94169084204,144091317.9358064,3223519.4169084206
2024-10-01,2024,0.43210383252823886,-0.3587432173355277,0.5629644310692153,395931.03243476263,176981171.4983389,3959310.3243476264
2024-10-08,2024,0.42119007172494455,-0.35136356748679715,0.5681307084389177,505532.9442323266,225973226.07184997,5055329.442323266
2024-10-15,2024,0.3959655220833011,-0.32403393087853616,0.5860998562016217,439273.22954943974,196355133.60859957,4392732.295494397
2024-10-22,2024,0.4590231364689742,-0.3886715884799794,0.5669877068838204,463710.74356032675,207278702.37146607,4637107.4356032675
2024-10-29,2024,0.434257086752426,-0.3694999469577793,36659752.71777263,405720.1499338971,181356907.020452,4057201.4993389705
2024-11-05,2024,0.4119784182866014,-0.36037673825496785,0.4987588354356963,552308.9197471201,246882087.1269627,5523089.197471201
2024-11-12,2024,0.41434128528967884,-0.3631222945025753,0.49640117124077854,542103.7704231081,242320385.37912932,5421037.7042310815
2024-11-19,2024,0.41594175927351745,-0.3684050954730129,0.4860842688948838,542458.4301761664,242478918.28874636,5424584.3017616635
2024-11-26,2024,0.4447504572014048,-0.3912882196561861,0.4946971812568053,404721.40777053015,180910469.27342698,4047214.0777053013
2024-12-03,2024,0.44440681823016215,-0.39188546555070625,0.4956118955448909,436505.0662874538,195117764.63049185,4365050.662874538
2024-12-10,2024,0.4427693679227414,-0.39104680891772353,0.5007960339144494,440842.5852433504,197056635.60377765,4408425.852433505
2024-12-17,2024,0.44218130389905835,-0.392716758793996,0.47006651524462695,455082.52224550594,203421887.44374114,4550825.222455059
2024-12-24,2024,0.4330300754042971,-0.38830852966551604,0.46702233920642033,457898.25849202357,204680521.54593453,4578982.584920236
2024-12-31,2024,0.41203826998022436,-0.3660225793027388,0.4653509476833248,395685.2430340563,176871303.63622317,3956852.430340563
2025-01-07,2025,0.4255704413554074,-0.37172459124674867,0.4785285791186104,385697.1499916707,172406626.0462768,3856971.4999167067
2025-01-14,2025,0.4216219277952584,-0.3736337303113048,0.4554490140559067,415087.5895145471,185544152.51300254,4150875.8951454707
2025-01-21,2025,0.42933098751696747,-0.3827901343006561,0.4560833950600202,380865.477132569,170246868.27825835,3808654.77132569
2025-01-28,2025,0.44911024281245754,-0.4025759322133057,0.4552420424145861,433362.4248418554,193713003.90430936,4333624.248418555
2025-02-04,2025,0.433577896006089,-0.38405068971234063,0.4489103146575857,457715.3568979057,204598764.53336385,4577153.568979057
2025-02-11,2025,0.40113690261544865,-0.34419220222062213,0.4681175153735485,397267.86837219517,177578737.16237125,3972678.6837219517
2025-02-18,2025,0.3908948153258136,-0.3361354148998299,0.45090735390629216,426263.8723480852,190539950.9395941,4262638.723480852
2025-02-25,2025,0.40734206233376113,-0.3549442404207574,0.45522246233993996,438501.09254271165,196009988.3665921,4385010.925427116
2025-03-04,2025,0.42227177929161575,-0.3703823505900076,0.46125398787485816,444114.3401744562,198519110.0579819,4441143.401744562
2025-03-11,2025,0.4828790630928443,-0.43240033635619524,0.4539087125750852,234038.16388839073,104615059.25811066,2340381.6388839073
